	pos	variable	label	col_type	class	type	unique_values	n_na	range
29	30	TRP_q5c3	CD45 Lymphogate - %CD3CD4CD25Foxp3	dbl	numeric	double	57	101	c(0, 9.2)
30	31	TRP_q5c4	CD45 Lymphogate - %CD3CD4 CD25br CD45RO+	dbl	numeric	double	42	264	c(0, 5.2)
31	32	TRP_q5c5	CD45 Lymphogate - %CD3CD4 CD25 CD127-	dbl	numeric	double	43	264	c(0, 9)
32	33	TRP_q5c6	CD45 Lymphogate - %CD3CD4 CD25 CD127-CD45RO+	dbl	numeric	double	40	264	c(0, 6.8)
33	34	TRP_q5c7	CD45 Lymphogate - %CD3CD4 CD25 FOXP3+ CD45RO+	dbl	numeric	double	40	265	c(0, 7.2)
34	35	TRP_q5c8	CD45 Lymphogate - %CD3CD4 CD25 FOXP3+CD127-	dbl	numeric	double	41	265	c(0, 13)
35	36	TRP_q5c9	CD45 Lymphogate - %CD3CD4 CD25 CD127- FOXP3+ CD45RO+	dbl	numeric	double	37	265	c(0, 6.6)
36	37	TRP_q5d1	CD3 Gate - %CD3CD4CD25	dbl	numeric	double	149	46	c(0.1, 85.7)
37	38	TRP_q5d2	CD3 Gate - %CD3CD4CD25 Bright	dbl	numeric	double	67	46	c(0, 8.5)
38	39	TRP_q5d3	CD3 Gate - %CD3CD4CD25Foxp3	dbl	numeric	double	69	101	c(0.1, 10.3)
39	40	TRP_q5d4	CD3 Gate - %CD3CD4 CD25br CD45RO+	dbl	numeric	double	50	264	c(0, 7.5)
40	41	TRP_q5d5	CD3 Gate - %CD3CD4 CD25 CD127-	dbl	numeric	double	50	264	c(0, 10.2)
41	42	TRP_q5d6	CD3 Gate - %CD3CD4 CD25 CD127-CD45RO+	dbl	numeric	double	51	264	c(0, 7.9)
42	43	TRP_q5d7	CD3 Gate - %CD3CD4 CD25 FOXP3+CD45RO+	dbl	numeric	double	47	265	c(0, 8.1)
43	44	TRP_q5d8	CD3 Gate - %CD3CD4 CD25 FOXP3+CD127-	dbl	numeric	double	48	265	c(0, 9.4)
44	45	TRP_q5d9	CD3 Gate - %CD3CD4CD25CD127- FOXP3+ CD45RO+	dbl	numeric	double	45	266	c(0, 7.4)
45	46	aCompletionDY	Completion Day	dbl	numeric	double	208	45	c(0, 1494)
46	47	TRP_q1aDY	Day Sample Collected	dbl	numeric	double	199	45	c(-1, 1493)
47	48	TRP_q2aDY	Day Sample Started Processing	dbl	numeric	double	200	45	c(0, 1493)
48	49	TRP_q3aDY	Day Sample Received By Harvard Lab	dbl	numeric	double	199	45	c(0, 1494)
49	50	TRP_q4aDY	Day Proliferation Assay was Conducted	dbl	numeric	double	197	46	c(0, 1494)
50	51	TRP_q5aDY	Day mRNA was Isolated	dbl	numeric	double	193	52	c(0, 1494)
