studyFileAccession,studyAccession,studyFileType,description,fileName,filePath
SFL15807,SDY1015,Study Summary Description,Supporting-Clinical-Information,E04M99MEMmCyDaZZ_Supporting-Clinical-Information.pdf,/SDY1015/StudyFiles/E04M99MEMmCyDaZZ_Supporting-Clinical-Information.pdf
SFL19421,SDY1015,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5919.SDY1015.txt,/SDY1015/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.5919.SDY1015.txt
SFL13078,SDY1025,Study Data,aah,aah_apic.txt,/SDY1025/StudyFiles/aah_apic.txt
SFL13079,SDY1025,Study Data,acc,acc_apic.txt,/SDY1025/StudyFiles/acc_apic.txt
SFL13080,SDY1025,Study Data,acf,acf_apic.txt,/SDY1025/StudyFiles/acf_apic.txt
SFL13081,SDY1025,Study Data,aciu,aciu_apic.txt,/SDY1025/StudyFiles/aciu_apic.txt
SFL13082,SDY1025,Study Data,aci,aci_apic.txt,/SDY1025/StudyFiles/aci_apic.txt
SFL13083,SDY1025,Study Data,act,act_apic.txt,/SDY1025/StudyFiles/act_apic.txt
SFL13084,SDY1025,Adverse Events,aea,aea_apic.txt,/SDY1025/StudyFiles/aea_apic.txt
SFL13086,SDY1025,Case Report Form,Case Report Form,APIC_Combined_English_Forms_030314.pdf,/SDY1025/StudyFiles/APIC_Combined_English_Forms_030314.pdf
SFL13087,SDY1025,Case Report Form,Case Report Form,APIC_Combined_English_Forms_090712.pdf,/SDY1025/StudyFiles/APIC_Combined_English_Forms_090712.pdf
SFL13088,SDY1025,Case Report Form,Case Report Form,APIC_DNA_processing_blood_v1_2.pdf,/SDY1025/StudyFiles/APIC_DNA_processing_blood_v1_2.pdf
SFL13089,SDY1025,Case Report Form,Case Report Form,APIC_DNA_processing_nasal_sputum_v1.0.pdf,/SDY1025/StudyFiles/APIC_DNA_processing_nasal_sputum_v1.0.pdf
SFL13090,SDY1025,Case Report Form,Case Report Form,APIC_Dust_Sample_Lab_Results_v1_0.pdf,/SDY1025/StudyFiles/APIC_Dust_Sample_Lab_Results_v1_0.pdf
SFL13091,SDY1025,Case Report Form,Case Report Form,APIC_ipratropium_reversibility_v1_4.pdf,/SDY1025/StudyFiles/APIC_ipratropium_reversibility_v1_4.pdf
SFL13092,SDY1025,Study Data,arf,arf_apic.txt,/SDY1025/StudyFiles/arf_apic.txt
SFL13093,SDY1025,Study Data,ar,ar_apic.txt,/SDY1025/StudyFiles/ar_apic.txt
SFL13094,SDY1025,Study Data,ascb,ascb_apic.txt,/SDY1025/StudyFiles/ascb_apic.txt
SFL13095,SDY1025,Study Data,asc,asc_apic.txt,/SDY1025/StudyFiles/asc_apic.txt
SFL13096,SDY1025,Study Data,astr,astr_apic.txt,/SDY1025/StudyFiles/astr_apic.txt
SFL13097,SDY1025,Study Data,as,as_apic.txt,/SDY1025/StudyFiles/as_apic.txt
SFL13098,SDY1025,Study Data,ba,ba_apic.txt,/SDY1025/StudyFiles/ba_apic.txt
SFL13099,SDY1025,Study Data,bd,bd_apic.txt,/SDY1025/StudyFiles/bd_apic.txt
SFL13100,SDY1025,Study Data,bsc,bsc_v2_apic.txt,/SDY1025/StudyFiles/bsc_v2_apic.txt
SFL13101,SDY1025,Study Data,cact,cact_apic.txt,/SDY1025/StudyFiles/cact_apic.txt
SFL13102,SDY1025,Study Data,casi,casi_apic.txt,/SDY1025/StudyFiles/casi_apic.txt
SFL13103,SDY1025,Study Data,cbcd,cbcd_apic.txt,/SDY1025/StudyFiles/cbcd_apic.txt
SFL13104,SDY1025,Study Data,cln,cln_apic.txt,/SDY1025/StudyFiles/cln_apic.txt
SFL13105,SDY1025,Concomitant Medications,cma,cma_apic.txt,/SDY1025/StudyFiles/cma_apic.txt
SFL13106,SDY1025,Concomitant Medications,cm,cm_apic.txt,/SDY1025/StudyFiles/cm_apic.txt
SFL13107,SDY1025,Demographics,df,df_apic.txt,/SDY1025/StudyFiles/df_apic.txt
SFL13108,SDY1025,Study Data,dis,dis_apic.txt,/SDY1025/StudyFiles/dis_apic.txt
SFL13109,SDY1025,Study Data,dnab,dnab_apic.txt,/SDY1025/StudyFiles/dnab_apic.txt
SFL13110,SDY1025,Study Data,dnas,dnas_apic.txt,/SDY1025/StudyFiles/dnas_apic.txt
SFL13111,SDY1025,Study Data,dpe,dpe_apic.txt,/SDY1025/StudyFiles/dpe_apic.txt
SFL13112,SDY1025,Study Data,dslr,dslr_apic.txt,/SDY1025/StudyFiles/dslr_apic.txt
SFL13113,SDY1025,Study Data,ds,ds_apic.txt,/SDY1025/StudyFiles/ds_apic.txt
SFL13114,SDY1025,Study Data,eec,eec_apic.txt,/SDY1025/StudyFiles/eec_apic.txt
SFL13115,SDY1025,Study Data,eno,eno_apic.txt,/SDY1025/StudyFiles/eno_apic.txt
SFL13116,SDY1025,Study Data,fd,fd_apic.txt,/SDY1025/StudyFiles/fd_apic.txt
SFL13117,SDY1025,Study Data,he,he_apic.txt,/SDY1025/StudyFiles/he_apic.txt
SFL13118,SDY1025,Study Data,hivf,hivf_apic.txt,/SDY1025/StudyFiles/hivf_apic.txt
SFL13119,SDY1025,Study Data,hiv,hiv_apic.txt,/SDY1025/StudyFiles/hiv_apic.txt
SFL13120,SDY1025,Study Data,igel,igel_apic.txt,/SDY1025/StudyFiles/igel_apic.txt
SFL13121,SDY1025,Data Dictionary,Immport Documentation,Immport_Documentation.rtf,/SDY1025/StudyFiles/Immport_Documentation.rtf
SFL13122,SDY1025,Study Data,ir,ir_apic.txt,/SDY1025/StudyFiles/ir_apic.txt
SFL13123,SDY1025,Study Data,isi,isi_apic.txt,/SDY1025/StudyFiles/isi_apic.txt
SFL13124,SDY1025,Study Data,issc,issc_v2_apic.txt,/SDY1025/StudyFiles/issc_v2_apic.txt
SFL13125,SDY1025,Study Data,mcor,mcor_apic.txt,/SDY1025/StudyFiles/mcor_apic.txt
SFL13126,SDY1025,Study Data,mc,mc_apic.txt,/SDY1025/StudyFiles/mc_apic.txt
SFL13127,SDY1025,Study Data,mri,mri_apic.txt,/SDY1025/StudyFiles/mri_apic.txt
SFL13128,SDY1025,Study Data,mrpf,mrpf_apic.txt,/SDY1025/StudyFiles/mrpf_apic.txt
SFL13129,SDY1025,Study Data,nbqc,nbqc_apic.txt,/SDY1025/StudyFiles/nbqc_apic.txt
SFL13130,SDY1025,Study Data,nbqp,nbqp_apic.txt,/SDY1025/StudyFiles/nbqp_apic.txt
SFL13131,SDY1025,Study Data,necsc,necsc_apic.txt,/SDY1025/StudyFiles/necsc_apic.txt
SFL13132,SDY1025,Study Data,ne,ne_apic.txt,/SDY1025/StudyFiles/ne_apic.txt
SFL13133,SDY1025,Study Data,paao,paao_apic.txt,/SDY1025/StudyFiles/paao_apic.txt
SFL13134,SDY1025,Study Data,paau,paau_apic.txt,/SDY1025/StudyFiles/paau_apic.txt
SFL13135,SDY1025,Study Data,paba,paba_apic.txt,/SDY1025/StudyFiles/paba_apic.txt
SFL13136,SDY1025,Study Data,pdr,pdr_apic.txt,/SDY1025/StudyFiles/pdr_apic.txt
SFL13137,SDY1025,Study Data,pe,pe_apic.txt,/SDY1025/StudyFiles/pe_apic.txt
SFL13138,SDY1025,Study Data,plor,plor_apic.txt,/SDY1025/StudyFiles/plor_apic.txt
SFL13139,SDY1025,Study Data,pl,pl_v2_apic.txt,/SDY1025/StudyFiles/pl_v2_apic.txt
SFL13140,SDY1025,Study Data,pmf,pmf_apic.txt,/SDY1025/StudyFiles/pmf_apic.txt
SFL13141,SDY1025,Study Data,pmi,pmi_apic.txt,/SDY1025/StudyFiles/pmi_apic.txt
SFL13142,SDY1025,Study Data,psas,psas_v2_apic.txt,/SDY1025/StudyFiles/psas_v2_apic.txt
SFL13143,SDY1025,Study Data,pss,pss_apic.txt,/SDY1025/StudyFiles/pss_apic.txt
SFL13144,SDY1025,Study Data,ptr,ptr_apic.txt,/SDY1025/StudyFiles/ptr_apic.txt
SFL13145,SDY1025,Study Data,qa,qa_apic.txt,/SDY1025/StudyFiles/qa_apic.txt
SFL13146,SDY1025,Study Data,rdq,rdq_apic.txt,/SDY1025/StudyFiles/rdq_apic.txt
SFL13147,SDY1025,Demographics,rf,rf_apic.txt,/SDY1025/StudyFiles/rf_apic.txt
SFL13148,SDY1025,Study Data,rl,rl_apic.txt,/SDY1025/StudyFiles/rl_apic.txt
SFL13149,SDY1025,Adverse Events,saeam,saeam_apic.txt,/SDY1025/StudyFiles/saeam_apic.txt
SFL13150,SDY1025,Adverse Events,sae,sae_apic.txt,/SDY1025/StudyFiles/sae_apic.txt
SFL13151,SDY1025,Study Data,scs,scs_apic.txt,/SDY1025/StudyFiles/scs_apic.txt
SFL13152,SDY1025,Study Data,scs,scs_v2_apic.txt,/SDY1025/StudyFiles/scs_v2_apic.txt
SFL13153,SDY1025,Study Data,sc,sc_apic.txt,/SDY1025/StudyFiles/sc_apic.txt
SFL13154,SDY1025,Study Data,sdd,sdd_apic.txt,/SDY1025/StudyFiles/sdd_apic.txt
SFL13155,SDY1025,Study Data,sec,sec_apic.txt,/SDY1025/StudyFiles/sec_apic.txt
SFL13156,SDY1025,Study Data,sor,sor_v2_apic.txt,/SDY1025/StudyFiles/sor_v2_apic.txt
SFL13157,SDY1025,Study Data,spm,spm_apic.txt,/SDY1025/StudyFiles/spm_apic.txt
SFL13158,SDY1025,Study Data,sps,sps_apic.txt,/SDY1025/StudyFiles/sps_apic.txt
SFL13159,SDY1025,Study Data,sp,sp_apic.txt,/SDY1025/StudyFiles/sp_apic.txt
SFL13160,SDY1025,Study Data,ssi,ssi_apic.txt,/SDY1025/StudyFiles/ssi_apic.txt
SFL13161,SDY1025,Study Data,st,st_apic.txt,/SDY1025/StudyFiles/st_apic.txt
SFL13162,SDY1025,Study Data,tcf,tcf_apic.txt,/SDY1025/StudyFiles/tcf_apic.txt
SFL13163,SDY1025,Study Data,tpe,tpe_apic.txt,/SDY1025/StudyFiles/tpe_apic.txt
SFL13164,SDY1025,Study Data,trr,trr_v2_apic.txt,/SDY1025/StudyFiles/trr_v2_apic.txt
SFL13165,SDY1025,Study Data,tr,tr_apic.txt,/SDY1025/StudyFiles/tr_apic.txt
SFL13166,SDY1025,Study Data,uea,uea_apic.txt,/SDY1025/StudyFiles/uea_apic.txt
SFL13167,SDY1025,Study Data,ue,ue_apic.txt,/SDY1025/StudyFiles/ue_apic.txt
SFL13168,SDY1025,Study Data,up,up_apic.txt,/SDY1025/StudyFiles/up_apic.txt
SFL13169,SDY1025,Data Dictionary,Data Dictionary,apic_data_dictionary.txt,/SDY1025/StudyFiles/apic_data_dictionary.txt
SFL13442,SDY1025,Adverse Events,ae,ae_apic.txt,/SDY1025/StudyFiles/ae_apic.txt
SFL17336,SDY1025,Study Summary Description,Data Curation Notes,SDY1025_Data_Curation_Notes.txt,/SDY1025/StudyFiles/SDY1025_Data_Curation_Notes.txt
SFL19801,SDY1025,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.3134.SDY1025.txt,/SDY1025/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.3134.SDY1025.txt
SFL23843,SDY1025,Study Data,subject ID mapping between ImmPort and dbGAP,APIC_dbGapWGS_immportSUB_mapping.txt,/SDY1025/StudyFiles/APIC_dbGapWGS_immportSUB_mapping.txt
SFL13170,SDY1026,Study Data,aciu,aciu_biocsi2.txt,/SDY1026/StudyFiles/aciu_biocsi2.txt
SFL13171,SDY1026,Study Data,aci,aci_biocsi2.txt,/SDY1026/StudyFiles/aci_biocsi2.txt
SFL13172,SDY1026,Adverse Events,aea,aea_biocsi2.txt,/SDY1026/StudyFiles/aea_biocsi2.txt
SFL13173,SDY1026,Adverse Events,ae,ae_biocsi2.txt,/SDY1026/StudyFiles/ae_biocsi2.txt
SFL13174,SDY1026,Study Data,ah,ah_biocsi2.txt,/SDY1026/StudyFiles/ah_biocsi2.txt
SFL13175,SDY1026,Study Data,astr,astr_biocsi2.txt,/SDY1026/StudyFiles/astr_biocsi2.txt
SFL13176,SDY1026,Study Data,bac,bac_biocsi2.txt,/SDY1026/StudyFiles/bac_biocsi2.txt
SFL13177,SDY1026,Study Data,bap,bap_biocsi2.txt,/SDY1026/StudyFiles/bap_biocsi2.txt
SFL13178,SDY1026,Case Report Form,Case Report Form,BioCSI2_Baltimore_Mechanistic_v1_0.pdf,/SDY1026/StudyFiles/BioCSI2_Baltimore_Mechanistic_v1_0.pdf
SFL13179,SDY1026,Case Report Form,Case Report Form,BioCSI2_combined_forms_011912.pdf,/SDY1026/StudyFiles/BioCSI2_combined_forms_011912.pdf
SFL13180,SDY1026,Case Report Form,Case Report Form,BioCSI2_Dallas_Mechanistic_v1_0.pdf,/SDY1026/StudyFiles/BioCSI2_Dallas_Mechanistic_v1_0.pdf
SFL13181,SDY1026,Study Data,bmba,bmba_biocsi2.txt,/SDY1026/StudyFiles/bmba_biocsi2.txt
SFL13182,SDY1026,Study Data,bsc,bsc_biocsi2.txt,/SDY1026/StudyFiles/bsc_biocsi2.txt
SFL13183,SDY1026,Study Data,busc,busc_biocsi2.txt,/SDY1026/StudyFiles/busc_biocsi2.txt
SFL13184,SDY1026,Study Data,cln,cln_biocsi2.txt,/SDY1026/StudyFiles/cln_biocsi2.txt
SFL13185,SDY1026,Concomitant Medications,cma,cma_biocsi2.txt,/SDY1026/StudyFiles/cma_biocsi2.txt
SFL13186,SDY1026,Concomitant Medications,cm,cm_biocsi2.txt,/SDY1026/StudyFiles/cm_biocsi2.txt
SFL13187,SDY1026,Study Data,da,da_biocsi2.txt,/SDY1026/StudyFiles/da_biocsi2.txt
SFL13188,SDY1026,Study Data,deh,deh_biocsi2.txt,/SDY1026/StudyFiles/deh_biocsi2.txt
SFL13189,SDY1026,Study Data,de,de_biocsi2.txt,/SDY1026/StudyFiles/de_biocsi2.txt
SFL13190,SDY1026,Demographics,df,df_biocsi2.txt,/SDY1026/StudyFiles/df_biocsi2.txt
SFL13191,SDY1026,Study Data,dpr,dpr_biocsi2.txt,/SDY1026/StudyFiles/dpr_biocsi2.txt
SFL13192,SDY1026,Study Data,edc,edc_biocsi2.txt,/SDY1026/StudyFiles/edc_biocsi2.txt
SFL13193,SDY1026,Study Data,epr,epr_biocsi2.txt,/SDY1026/StudyFiles/epr_biocsi2.txt
SFL13194,SDY1026,Study Data,et,et_biocsi2.txt,/SDY1026/StudyFiles/et_biocsi2.txt
SFL13195,SDY1026,Study Data,hdf,hdf_biocsi2.txt,/SDY1026/StudyFiles/hdf_biocsi2.txt
SFL13196,SDY1026,Study Data,igel,igel_biocsi2.txt,/SDY1026/StudyFiles/igel_biocsi2.txt
SFL13197,SDY1026,Data Dictionary,ImmPort Documentation,Immport_Documentation.rtf,/SDY1026/StudyFiles/Immport_Documentation.rtf
SFL13198,SDY1026,Study Data,isi,isi_biocsi2.txt,/SDY1026/StudyFiles/isi_biocsi2.txt
SFL13199,SDY1026,Study Data,nbq,nbq_biocsi2.txt,/SDY1026/StudyFiles/nbq_biocsi2.txt
SFL13200,SDY1026,Study Data,pdo,pdo_biocsi2.txt,/SDY1026/StudyFiles/pdo_biocsi2.txt
SFL13201,SDY1026,Study Data,pdr,pdr_biocsi2.txt,/SDY1026/StudyFiles/pdr_biocsi2.txt
SFL13202,SDY1026,Study Data,pdt,pdt_biocsi2.txt,/SDY1026/StudyFiles/pdt_biocsi2.txt
SFL13203,SDY1026,Study Data,pe,pe_biocsi2.txt,/SDY1026/StudyFiles/pe_biocsi2.txt
SFL13204,SDY1026,Study Data,pfe,pfe_biocsi2.txt,/SDY1026/StudyFiles/pfe_biocsi2.txt
SFL13205,SDY1026,Study Data,pf,pf_biocsi2.txt,/SDY1026/StudyFiles/pf_biocsi2.txt
SFL13206,SDY1026,Study Data,pthdr,pthdr_biocsi2.txt,/SDY1026/StudyFiles/pthdr_biocsi2.txt
SFL13207,SDY1026,Study Data,ptr,ptr_biocsi2.txt,/SDY1026/StudyFiles/ptr_biocsi2.txt
SFL13208,SDY1026,Study Data,ptwr,ptwr_biocsi2.txt,/SDY1026/StudyFiles/ptwr_biocsi2.txt
SFL13209,SDY1026,Study Data,pwr,pwr_biocsi2.txt,/SDY1026/StudyFiles/pwr_biocsi2.txt
SFL13210,SDY1026,Study Data,rec,rec_biocsi2.txt,/SDY1026/StudyFiles/rec_biocsi2.txt
SFL13211,SDY1026,Demographics,rf,rf_biocsi2.txt,/SDY1026/StudyFiles/rf_biocsi2.txt
SFL13212,SDY1026,Study Data,rl,rl_biocsi2.txt,/SDY1026/StudyFiles/rl_biocsi2.txt
SFL13213,SDY1026,Adverse Events,saeam,saeam_biocsi2.txt,/SDY1026/StudyFiles/saeam_biocsi2.txt
SFL13214,SDY1026,Adverse Events,sae,sae_biocsi2.txt,/SDY1026/StudyFiles/sae_biocsi2.txt
SFL13215,SDY1026,Study Data,scs,scs_biocsi2.txt,/SDY1026/StudyFiles/scs_biocsi2.txt
SFL13216,SDY1026,Study Data,sec,sec_biocsi2.txt,/SDY1026/StudyFiles/sec_biocsi2.txt
SFL13217,SDY1026,Study Data,st,st_biocsi2.txt,/SDY1026/StudyFiles/st_biocsi2.txt
SFL13218,SDY1026,Study Data,tc,tc_biocsi2.txt,/SDY1026/StudyFiles/tc_biocsi2.txt
SFL13219,SDY1026,Study Data,tregd,tregd_biocsi2.txt,/SDY1026/StudyFiles/tregd_biocsi2.txt
SFL13220,SDY1026,Study Data,uv,uv_biocsi2.txt,/SDY1026/StudyFiles/uv_biocsi2.txt
SFL13221,SDY1026,Study Data,vdr,vdr_biocsi2.txt,/SDY1026/StudyFiles/vdr_biocsi2.txt
SFL13363,SDY1026,Data Dictionary,Data Dictionary,biocsi2_data_dictionary.txt,/SDY1026/StudyFiles/biocsi2_data_dictionary.txt
SFL17337,SDY1026,Study Summary Description,Data Curation Notes,SDY1026_Data_Curation_Notes.txt,/SDY1026/StudyFiles/SDY1026_Data_Curation_Notes.txt
SFL19802,SDY1026,Study Data,"Study file describes the relationship of PERIOD and STUDY_GLOSSARY to a STUDY providing the content of the PERIOD, PLANNED_VISIT, and STUDY_GLOSSSARY table content for the given study",StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.3134.SDY1026.txt,/SDY1026/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.3134.SDY1026.txt
SFL13222,SDY1027,Study Data,aciu,aciu_epi.txt,/SDY1027/StudyFiles/aciu_epi.txt
SFL13223,SDY1027,Study Data,aci,aci_epi.txt,/SDY1027/StudyFiles/aci_epi.txt
SFL13224,SDY1027,Adverse Events,aea,aea_epi.txt,/SDY1027/StudyFiles/aea_epi.txt
SFL13225,SDY1027,Adverse Events,ae,ae_epi.txt,/SDY1027/StudyFiles/ae_epi.txt
SFL13226,SDY1027,Study Data,astr,astr_epi.txt,/SDY1027/StudyFiles/astr_epi.txt
SFL13227,SDY1027,Study Data,bscfe,bscfe_epi.txt,/SDY1027/StudyFiles/bscfe_epi.txt
SFL13228,SDY1027,Study Data,bscfm,bscfm_epi.txt,/SDY1027/StudyFiles/bscfm_epi.txt
SFL13229,SDY1027,Study Data,bscp,bscp_epi.txt,/SDY1027/StudyFiles/bscp_epi.txt
SFL13230,SDY1027,Concomitant Medications,cma,cma_epi.txt,/SDY1027/StudyFiles/cma_epi.txt
SFL13231,SDY1027,Concomitant Medications,cm,cm_epi.txt,/SDY1027/StudyFiles/cm_epi.txt
SFL13232,SDY1027,Study Data,cn,cn_epi.txt,/SDY1027/StudyFiles/cn_epi.txt
SFL13233,SDY1027,Demographics,df,df_epi.txt,/SDY1027/StudyFiles/df_epi.txt
SFL13234,SDY1027,Study Data,dpr,dpr_epi.txt,/SDY1027/StudyFiles/dpr_epi.txt
SFL13235,SDY1027,Case Report Form,Case Report Form,EPI_Combined_Forms_051211.pdf,/SDY1027/StudyFiles/EPI_Combined_Forms_051211.pdf
SFL13236,SDY1027,Study Data,he,he_epi.txt,/SDY1027/StudyFiles/he_epi.txt
SFL13237,SDY1027,Study Data,igel,igel_epi.txt,/SDY1027/StudyFiles/igel_epi.txt
SFL13238,SDY1027,Data Dictionary,Immport Documentation,Immport_Documentation.rtf,/SDY1027/StudyFiles/Immport_Documentation.rtf
SFL13239,SDY1027,Study Data,isi,isi_epi.txt,/SDY1027/StudyFiles/isi_epi.txt
SFL13240,SDY1027,Study Data,mcor,mcor_epi.txt,/SDY1027/StudyFiles/mcor_epi.txt
SFL13241,SDY1027,Study Data,mc,mc_epi.txt,/SDY1027/StudyFiles/mc_epi.txt
SFL13242,SDY1027,Study Data,necsc,necsc_epi.txt,/SDY1027/StudyFiles/necsc_epi.txt
SFL13243,SDY1027,Study Data,pdr,pdr_epi.txt,/SDY1027/StudyFiles/pdr_epi.txt
SFL13244,SDY1027,Study Data,peu,peu_epi.txt,/SDY1027/StudyFiles/peu_epi.txt
SFL13245,SDY1027,Study Data,pe,pe_epi.txt,/SDY1027/StudyFiles/pe_epi.txt
SFL13246,SDY1027,Study Data,ptr,ptr_epi.txt,/SDY1027/StudyFiles/ptr_epi.txt
SFL13247,SDY1027,Study Data,px,px_epi.txt,/SDY1027/StudyFiles/px_epi.txt
SFL13248,SDY1027,Demographics,rf,rf_epi.txt,/SDY1027/StudyFiles/rf_epi.txt
SFL13249,SDY1027,Study Data,rhq,rhq_epi.txt,/SDY1027/StudyFiles/rhq_epi.txt
SFL13250,SDY1027,Study Data,rl,rl_epi.txt,/SDY1027/StudyFiles/rl_epi.txt
SFL13251,SDY1027,Study Data,scs,scs_epi.txt,/SDY1027/StudyFiles/scs_epi.txt
SFL13252,SDY1027,Study Data,sec2,sec2_epi.txt,/SDY1027/StudyFiles/sec2_epi.txt
SFL13253,SDY1027,Study Data,sec,sec_epi.txt,/SDY1027/StudyFiles/sec_epi.txt
SFL13254,SDY1027,Study Data,sor,sor_epi.txt,/SDY1027/StudyFiles/sor_epi.txt
SFL13255,SDY1027,Study Data,st,st_epi.txt,/SDY1027/StudyFiles/st_epi.txt
SFL13364,SDY1027,Data Dictionary,Data Dictionary,epigenetics_data_dictionary.txt,/SDY1027/StudyFiles/epigenetics_data_dictionary.txt
SFL17338,SDY1027,Study Summary Description,Data Curation Notes,SDY1027_Data_Curation_Notes.txt,/SDY1027/StudyFiles/SDY1027_Data_Curation_Notes.txt
